Idx,Distance,MPF,RESP_Azi,RESP_Ele,POOA_1,POOA_2,POOA_3,RSSI_1,RSSI_2,RSSI_3,Gain_idx
22167,43.234381,0,-66.781540,28.464293,171.540269,-165.299844,22.896207,-35,-38,-50,6
22168,43.117092,0,75.059074,32.265594,170.529496,173.660695,4.010132,-35,-39,-50,6
22169,42.648321,0,-68.348221,32.045280,168.870510,-167.101657,3.131199,-35,-39,-50,6
22170,42.531349,0,78.192436,32.489407,171.507309,175.967895,4.021119,-35,-39,-50,6
22171,42.531421,0,77.073380,32.265594,171.540269,175.132908,4.922025,-35,-38,-50,6
22172,43.117237,0,75.730507,31.597656,168.859523,174.232002,5.372478,-35,-39,-50,6
22173,42.999952,0,-65.886299,28.016670,171.056856,-163.959471,24.346446,-35,-38,-50,6
22174,43.703044,0,-66.333916,28.464293,171.946776,-164.673605,23.137913,-35,-38,-50,6
22175,42.296813,0,77.073380,32.489407,171.880856,175.132908,4.021119,-35,-39,-50,6
22176,43.351655,0,82.654686,32.937027,173.298135,178.209174,3.065279,-35,-38,-50,6
22177,42.765517,0,77.521004,32.045280,169.298990,175.528428,3.955199,-35,-39,-50,6
22178,43.468765,0,79.087685,28.240480,169.771416,176.418348,22.258980,-35,-38,-50,6
22179,42.413991,0,65.214859,25.330931,156.730247,163.212378,22.940153,-35,-39,-50,6
22180,42.882852,0,79.745132,32.713215,172.847682,176.879788,3.537706,-35,-39,-51,6
22181,42.882769,0,81.535622,32.937027,174.188055,177.758721,4.021119,-35,-38,-50,6
22182,43.000042,0,76.849571,32.265594,171.056856,175.088961,4.021119,-35,-39,-50,6
22183,43.468709,0,-67.900604,28.240480,168.881497,-166.585284,21.489914,-35,-39,-50,6
22184,42.648371,0,78.416252,33.160839,173.353069,176.033815,2.680746,-35,-38,-50,6
22185,43.937553,0,78.640060,32.489407,171.507309,176.187628,4.021119,-35,-38,-50,6
22186,43.000035,0,74.611450,31.597656,168.507950,173.342082,4.416639,-35,-39,-51,6
22187,42.765640,0,-67.229164,28.016670,169.189123,-165.618458,22.379833,-35,-38,-50,6
22188,43.000164,0,81.535622,32.937027,173.737602,177.769707,3.570666,-35,-38,-50,6
22189,42.765694,0,81.535622,32.045280,171.990722,177.769707,5.778985,-35,-38,-50,6
22190,42.882698,0,76.401947,32.265594,170.232856,174.638508,3.208106,-35,-38,-50,6
22191,43.000019,0,77.073380,32.489407,171.199683,175.143895,3.570666,-35,-38,-50,6
22192,42.648563,0,78.192436,32.045280,171.122776,175.967895,4.856105,-35,-38,-50,6
22193,42.882877,0,79.087685,32.937027,173.287149,176.418348,3.581652,-35,-38,-50,6
22194,42.882980,0,76.849571,31.821466,168.623310,175.088961,4.032105,-35,-39,-50,6
22195,42.882943,0,76.401947,31.821466,171.089816,174.671468,6.207465,-35,-38,-50,6
22196,42.882726,0,-67.229164,28.464293,170.079043,-165.607471,21.643727,-35,-39,-50,6
22197,43.117079,0,-66.333916,32.713215,172.880642,-164.497818,4.460585,-35,-38,-50,6
22198,42.765556,0,-67.900604,28.464293,171.056856,-166.508377,22.171087,-35,-38,-50,6
22199,42.999970,0,77.521004,32.489407,171.430403,175.528428,3.955199,-35,-39,-50,6
22200,43.234432,0,75.730507,32.045280,169.760430,174.242988,3.526719,-35,-38,-50,6
22201,42.999978,0,78.192436,32.265594,171.562243,175.967895,4.405652,-35,-39,-51,6
22202,42.414142,0,-69.467285,28.688105,170.979949,-168.299203,21.270180,-35,-38,-50,6
22203,42.765686,0,78.863876,32.713215,172.770775,176.341441,3.581652,-35,-38,-50,6
22204,43.234471,0,76.849571,32.265594,171.419416,175.077975,4.471572,-35,-38,-50,6
